scope,metric,rain_leads_months,pearson_raw,spearman_raw,pearson_anomaly,months,analysis_start,analysis_end
Eastern Samar,shipments,0,-0.46253704001949275,-0.4797648074279138,-0.2727974484949813,60,2021-01-04,2025-12-22
Eastern Samar,shipments,1,-0.46089596966193963,-0.4975759650204194,-0.24672897792503445,59,2021-01-04,2025-12-22
Eastern Samar,shipments,2,-0.34294990621027693,-0.3728466925276474,-0.28042402513228937,58,2021-01-04,2025-12-22
Eastern Samar,shipments,3,-0.11116682848701351,-0.121300684394776,-0.19765689979508108,57,2021-01-04,2025-12-22
Eastern Samar,shipments,4,0.03741688327575222,-0.011425129084607558,-0.19668495636709252,56,2021-01-04,2025-12-22
Eastern Samar,volume_mt,0,-0.4589883396836526,-0.4753747730359999,-0.2673315824870314,60,2021-01-04,2025-12-22
Eastern Samar,volume_mt,1,-0.46087727353232893,-0.5010755155648222,-0.24824508386480462,59,2021-01-04,2025-12-22
Eastern Samar,volume_mt,2,-0.34144086891299996,-0.3633775071819671,-0.27784690514122223,58,2021-01-04,2025-12-22
Eastern Samar,volume_mt,3,-0.10870200619457274,-0.11457951389792988,-0.19482496406662242,57,2021-01-04,2025-12-22
Eastern Samar,volume_mt,4,0.033533738317558126,-0.0044555057722583235,-0.2060065608130686,56,2021-01-04,2025-12-22
Other-Check,shipments,0,0.1235536081839199,0.17671618015396037,0.09560564195888085,60,2021-01-04,2025-12-22
Other-Check,shipments,1,0.056442086753878774,0.09425758825972858,0.1474967720479442,59,2021-01-04,2025-12-22
Other-Check,shipments,2,-0.15546816120675702,-0.19196835480627608,0.010469730946379036,58,2021-01-04,2025-12-22
Other-Check,shipments,3,-0.26549742293170836,-0.28730802537446903,-0.11969332426933513,57,2021-01-04,2025-12-22
Other-Check,shipments,4,-0.03765308223748657,-0.12572613279566155,0.1314337602518544,56,2021-01-04,2025-12-22
Other-Check,volume_mt,0,0.1309099263488919,0.1837102706434932,0.10062392984120468,60,2021-01-04,2025-12-22
Other-Check,volume_mt,1,0.06725866580137667,0.09511340415425085,0.1538750466964983,59,2021-01-04,2025-12-22
Other-Check,volume_mt,2,-0.14955046172647427,-0.1872292855451167,0.012228796500156259,58,2021-01-04,2025-12-22
Other-Check,volume_mt,3,-0.2517685511327717,-0.23268257508326426,-0.11035231073661046,57,2021-01-04,2025-12-22
Other-Check,volume_mt,4,-0.023861920874188685,-0.08569738484504665,0.13969756102823677,56,2021-01-04,2025-12-22
Palawan,shipments,0,-0.11451259257528587,-0.12319723698850002,0.0745504723636527,60,2021-01-04,2025-12-22
Palawan,shipments,1,-0.026216969044019524,-0.004321445676401793,0.10950545758205334,59,2021-01-04,2025-12-22
Palawan,shipments,2,0.2174841740542256,0.22816238062691802,0.252886136358506,58,2021-01-04,2025-12-22
Palawan,shipments,3,0.3219358557022152,0.2944480509787349,0.14153917203032867,57,2021-01-04,2025-12-22
Palawan,shipments,4,0.47154649895806394,0.4847536815183484,0.16563956997222964,56,2021-01-04,2025-12-22
Palawan,volume_mt,0,-0.1043811662144264,-0.118089998483173,0.08962644962078466,60,2021-01-04,2025-12-22
Palawan,volume_mt,1,-0.04982937099361386,-0.03310977659290599,0.06996001795293856,59,2021-01-04,2025-12-22
Palawan,volume_mt,2,0.22468588804119954,0.21772767125020215,0.2644138994678188,58,2021-01-04,2025-12-22
Palawan,volume_mt,3,0.319680381467268,0.27978804430761006,0.12690417576765883,57,2021-01-04,2025-12-22
Palawan,volume_mt,4,0.45691224161218474,0.4700011962613134,0.15035493346368237,56,2021-01-04,2025-12-22
Surigao-Dinagat-Caraga,shipments,0,-0.5194832526820468,-0.5506514180558919,-0.046000954069915154,60,2021-01-04,2025-12-22
Surigao-Dinagat-Caraga,shipments,1,-0.5243831818181285,-0.5761994546989714,-0.1272361658541824,59,2021-01-04,2025-12-22
Surigao-Dinagat-Caraga,shipments,2,-0.36011448021269465,-0.4325931162216578,-0.11155110362540743,58,2021-01-04,2025-12-22
Surigao-Dinagat-Caraga,shipments,3,-0.12133359778389359,-0.1935296110657008,-0.07387563570187716,57,2021-01-04,2025-12-22
Surigao-Dinagat-Caraga,shipments,4,0.047825472593895225,-0.052366066203990244,-0.31453519467471336,56,2021-01-04,2025-12-22
Surigao-Dinagat-Caraga,volume_mt,0,-0.5143883263837625,-0.5377604890247292,-0.026988463229392707,60,2021-01-04,2025-12-22
Surigao-Dinagat-Caraga,volume_mt,1,-0.5212849804170201,-0.5645821157218002,-0.11291413665936381,59,2021-01-04,2025-12-22
Surigao-Dinagat-Caraga,volume_mt,2,-0.3555584422703201,-0.414746685533237,-0.09524315119861622,58,2021-01-04,2025-12-22
Surigao-Dinagat-Caraga,volume_mt,3,-0.11829951842640912,-0.17481203007518797,-0.0530681300655555,57,2021-01-04,2025-12-22
Surigao-Dinagat-Caraga,volume_mt,4,0.05313269187287932,-0.04401913875598087,-0.2955173121704843,56,2021-01-04,2025-12-22
Tawi-Tawi,shipments,0,0.018061969991295387,0.013543215844191403,0.09526656139854524,60,2021-01-04,2025-12-22
Tawi-Tawi,shipments,1,0.10878443330970286,0.23210310666509076,0.16672329739828198,59,2021-01-04,2025-12-22
Tawi-Tawi,shipments,2,0.09262481529460091,0.10447947359244558,0.13426381707271637,58,2021-01-04,2025-12-22
Tawi-Tawi,shipments,3,0.04849048906370682,0.10610122126440989,0.10387723218591369,57,2021-01-04,2025-12-22
Tawi-Tawi,shipments,4,0.24930796767159957,0.24727318051874989,0.2806926352996395,56,2021-01-04,2025-12-22
Tawi-Tawi,volume_mt,0,0.018728753735988365,-0.007169056363188112,0.09084073125195426,60,2021-01-04,2025-12-22
Tawi-Tawi,volume_mt,1,0.10805344724857142,0.22417042916520902,0.1671272118428771,59,2021-01-04,2025-12-22
Tawi-Tawi,volume_mt,2,0.07786253892144433,0.06893581679453277,0.11786716562313938,58,2021-01-04,2025-12-22
Tawi-Tawi,volume_mt,3,0.048904212341373966,0.12130738443685676,0.09895432195228346,57,2021-01-04,2025-12-22
Tawi-Tawi,volume_mt,4,0.25664971346561055,0.25817255937739686,0.2870909826007547,56,2021-01-04,2025-12-22
Zambales-Luzon,shipments,0,-0.6899936979171278,-0.6743748817994901,-0.11683755338966055,60,2021-01-04,2025-12-22
Zambales-Luzon,shipments,1,-0.6149612410055579,-0.5603728006038278,-0.07781877671320016,59,2021-01-04,2025-12-22
Zambales-Luzon,shipments,2,-0.3300476408866971,-0.30912848024441836,0.04676612176128322,58,2021-01-04,2025-12-22
Zambales-Luzon,shipments,3,0.0860818655477487,0.06186513061977556,0.23316221445425933,57,2021-01-04,2025-12-22
Zambales-Luzon,shipments,4,0.30818654652937544,0.3392987842735319,-0.071242642444139,56,2021-01-04,2025-12-22
Zambales-Luzon,volume_mt,0,-0.6886823744773437,-0.6762090311201023,-0.11186466965964965,60,2021-01-04,2025-12-22
Zambales-Luzon,volume_mt,1,-0.6091065253865843,-0.5529962235673107,-0.07041156049994599,59,2021-01-04,2025-12-22
Zambales-Luzon,volume_mt,2,-0.3248829754118221,-0.30151698402678756,0.03899729913136437,58,2021-01-04,2025-12-22
Zambales-Luzon,volume_mt,3,0.09711538624455548,0.07540686384721489,0.24236482384419297,57,2021-01-04,2025-12-22
Zambales-Luzon,volume_mt,4,0.3193802267421779,0.352957285584472,-0.07195697247964519,56,2021-01-04,2025-12-22
Philippines weighted,shipments,0,-0.42000185523704603,-0.38663869617507335,-0.042195074340954056,60,2021-01-04,2025-12-22
Philippines weighted,shipments,1,-0.46524942908332895,-0.47132064500004117,-0.0844017563501898,59,2021-01-04,2025-12-22
Philippines weighted,shipments,2,-0.34583784877597323,-0.3685084956225878,-0.13078996481955518,58,2021-01-04,2025-12-22
Philippines weighted,shipments,3,-0.15403721044798127,-0.16450034250595247,-0.1744390794861796,57,2021-01-04,2025-12-22
Philippines weighted,shipments,4,-0.036105696356545286,-0.1468466950177499,-0.3140594031083816,56,2021-01-04,2025-12-22
Philippines weighted,volume_mt,0,-0.4144634792856387,-0.3756043345373716,-0.02954596813661815,60,2021-01-04,2025-12-22
Philippines weighted,volume_mt,1,-0.46352700136959,-0.47048509643483355,-0.08218294463016879,59,2021-01-04,2025-12-22
Philippines weighted,volume_mt,2,-0.34162859461192874,-0.36583715278845863,-0.1193815583572111,58,2021-01-04,2025-12-22
Philippines weighted,volume_mt,3,-0.1517202777449861,-0.17708063261602283,-0.1616593204081391,57,2021-01-04,2025-12-22
Philippines weighted,volume_mt,4,-0.032900226997848996,-0.1462064251537936,-0.3035403950042611,56,2021-01-04,2025-12-22
