scope,metric,month,pearson_raw,months
Eastern Samar,shipments,2022-12-01,-0.24238610207668806,24
Eastern Samar,volume_mt,2022-12-01,-0.22246795897568955,24
Eastern Samar,shipments,2023-01-01,-0.2830366390307553,24
Eastern Samar,volume_mt,2023-01-01,-0.26590385687095003,24
Eastern Samar,shipments,2023-02-01,-0.263634733753114,24
Eastern Samar,volume_mt,2023-02-01,-0.24641809763725178,24
Eastern Samar,shipments,2023-03-01,-0.37553127545826254,24
Eastern Samar,volume_mt,2023-03-01,-0.361643615985114,24
Eastern Samar,shipments,2023-04-01,-0.49237210808940807,24
Eastern Samar,volume_mt,2023-04-01,-0.489831807153426,24
Eastern Samar,shipments,2023-05-01,-0.504126463253915,24
Eastern Samar,volume_mt,2023-05-01,-0.5006455827859142,24
Eastern Samar,shipments,2023-06-01,-0.5172837630552864,24
Eastern Samar,volume_mt,2023-06-01,-0.5138888363905288,24
Eastern Samar,shipments,2023-07-01,-0.5740690259574746,24
Eastern Samar,volume_mt,2023-07-01,-0.5682884332857543,24
Eastern Samar,shipments,2023-08-01,-0.6031279918322051,24
Eastern Samar,volume_mt,2023-08-01,-0.5981222295982266,24
Eastern Samar,shipments,2023-09-01,-0.6194147662655812,24
Eastern Samar,volume_mt,2023-09-01,-0.6137945936007798,24
Eastern Samar,shipments,2023-10-01,-0.6314976688152623,24
Eastern Samar,volume_mt,2023-10-01,-0.62589004548526,24
Eastern Samar,shipments,2023-11-01,-0.651126643773357,24
Eastern Samar,volume_mt,2023-11-01,-0.6455576854991368,24
Eastern Samar,shipments,2023-12-01,-0.5729161568394359,24
Eastern Samar,volume_mt,2023-12-01,-0.5668335525292075,24
Eastern Samar,shipments,2024-01-01,-0.5369645548007327,24
Eastern Samar,volume_mt,2024-01-01,-0.5309657472565796,24
Eastern Samar,shipments,2024-02-01,-0.4767231411590398,24
Eastern Samar,volume_mt,2024-02-01,-0.46936048149002824,24
Eastern Samar,shipments,2024-03-01,-0.4994235625561444,24
Eastern Samar,volume_mt,2024-03-01,-0.4927214143177052,24
Eastern Samar,shipments,2024-04-01,-0.5513773516657821,24
Eastern Samar,volume_mt,2024-04-01,-0.5476759110953205,24
Eastern Samar,shipments,2024-05-01,-0.5732631623826735,24
Eastern Samar,volume_mt,2024-05-01,-0.5692355111363625,24
Eastern Samar,shipments,2024-06-01,-0.5744737285187077,24
Eastern Samar,volume_mt,2024-06-01,-0.5691113957695604,24
Eastern Samar,shipments,2024-07-01,-0.5303240740931086,24
Eastern Samar,volume_mt,2024-07-01,-0.5267853243061247,24
Eastern Samar,shipments,2024-08-01,-0.5299651766778529,24
Eastern Samar,volume_mt,2024-08-01,-0.5263835053783168,24
Eastern Samar,shipments,2024-09-01,-0.5369113503661445,24
Eastern Samar,volume_mt,2024-09-01,-0.5338744213809039,24
Eastern Samar,shipments,2024-10-01,-0.5416215460153476,24
Eastern Samar,volume_mt,2024-10-01,-0.5383573128335191,24
Eastern Samar,shipments,2024-11-01,-0.49024626279965555,24
Eastern Samar,volume_mt,2024-11-01,-0.48681264055730245,24
Eastern Samar,shipments,2024-12-01,-0.46441134579569304,24
Eastern Samar,volume_mt,2024-12-01,-0.4611854925143788,24
Eastern Samar,shipments,2025-01-01,-0.4019715863086498,24
Eastern Samar,volume_mt,2025-01-01,-0.3991150262255212,24
Eastern Samar,shipments,2025-02-01,-0.3878980101265205,24
Eastern Samar,volume_mt,2025-02-01,-0.3880202041125578,24
Eastern Samar,shipments,2025-03-01,-0.37694979333755707,24
Eastern Samar,volume_mt,2025-03-01,-0.37702907594831747,24
Eastern Samar,shipments,2025-04-01,-0.3648941837361254,24
Eastern Samar,volume_mt,2025-04-01,-0.36634367109490795,24
